# Terracotta Laser Cleaning Dataset
# License: CC-BY-4.0
# URL: https://creativecommons.org/licenses/by/4.0/
# Source: Z-Beam Laser Cleaning Research Lab
# Contact: info@z-beam.com
# Dataset: https://www.z-beam.com/materials/masonry/concrete/terracotta-laser-cleaning
# Updated: 2025-12-21 | Version: 1.0
#
# Citation: Z-Beam (2025). Terracotta Laser Cleaning Dataset. Retrieved from https://www.z-beam.com/materials/masonry/concrete/terracotta-laser-cleaning
#
Field,Category,Property,Value,Unit,Min,Max,Source,Description
Basic,Info,Name,Terracotta,,,,,Material name
Basic,Info,Category,masonry,,,,,Material category
Basic,Info,Subcategory,concrete,,,,,Material subcategory
Basic,Info,Slug,terracotta-laser-cleaning,,,,,URL identifier
Machine,Settings,powerRange,100,W,1,120,,Optimal average power for Terracotta surface cleaning without thermal damage
Machine,Settings,wavelength,1064,nm,355,10640,,Near-infrared wavelength optimized for Terracotta absorption and minimal substrate damage
Machine,Settings,spotSize,100,μm,0.1,500,,Beam spot diameter for precise cleaning control and adequate energy density
Machine,Settings,repetitionRate,50,kHz,1,200,,Optimal repetition rate for efficient cleaning coverage and thermal management
Machine,Settings,energyDensity,2.5,J/cm²,0.1,20,,Fluence level sufficient for contaminant removal while preserving Terracotta substrate
Machine,Settings,pulseWidth,10,ns,0.1,1000,,Nanosecond pulse duration for effective contaminant removal with controlled thermal penetration
Machine,Settings,scanSpeed,500,mm/s,10,5000,,Optimal scanning speed for uniform cleaning and process efficiency
Machine,Settings,passCount,2,passes,1,10,,Recommended number of cleaning passes for complete contaminant removal
Machine,Settings,overlapRatio,50,%,10,90,,Optimal beam overlap for uniform cleaning coverage without excessive thermal buildup
Machine,Settings,dwellTime,100,μs,0.2,200,,Effective dwell time per spot for contaminant ablation without substrate damage
Machine,Settings,power,50,W,20,200,,"Typical range for delicate ceramics like terracotta to avoid thermal damage; starting at 50W for light contamination removal. Max safe ~200W to prevent cracking. Source: Studies on Nd:YAG laser cleaning of archaeological ceramics (e.g., Verges-Belmin et al., 2008, J. Cult. Herit.)."
Machine,Settings,scan_speed,1500,mm/s,10,5000,,"Effective speeds balance cleaning efficiency and heat input; slower for heavy contamination (500-1000 mm/s), faster for light (2000-3000 mm/s). Recommended 1500 mm/s for uniform terracotta surface preparation. Source: Industry manuals from IPG Photonics and Laserax equipment guidelines."
Machine,Settings,pulse_width,15,ns,0.1,1000,,"Nanosecond regime preferred for terracotta to minimize heat-affected zone (HAZ) while ablating contaminants; picosecond (ps) or femtosecond (fs) for ultra-precision but less common industrially. 15 ns optimal for low thermal conductivity materials. Source: Laser ablation research (e.g., Anisimov et al., 2015, Appl. Phys. A)."
Machine,Settings,repetition_rate,20,kHz,1,200,,"Typical for 1064 nm cleaning to achieve good overlap without excessive heat buildup; higher rates speed up process but risk accumulation on porous terracotta. 20 kHz balances speed and safety. Source: Academic literature on pulsed laser cleaning (e.g., Pouli et al., 2010, Spectrochim. Acta B)."
Machine,Settings,energy_density,1,J/cm²,0.1,20,,"Fluence range for contaminant ablation without substrate damage; terracotta damage threshold ~2-4 J/cm² due to low melting point (~1000-1200°C). Recommended 1 J/cm² for safe industrial cleaning. Source: Ablation threshold studies on ceramics (e.g., Marla et al., 2012, J. Appl. Phys.)."
Machine,Settings,spot_size,200,μm,0.1,500,,"Smaller spots for fine detail on terracotta artifacts, larger for broad industrial areas; 200 μm recommended for balanced resolution and coverage on uneven surfaces. Source: Equipment specs from Coherent and Trumpf laser systems."
Machine,Settings,pass_count,2,passes,1,10,,"Single pass for light soiling, multi-pass for heavy contamination; 2 passes typical for complete terracotta cleaning without overexposure. Source: Case studies in cultural heritage laser cleaning (e.g., Radvan et al., 2007, Lasers in the Conservation of Artworks)."
Machine,Settings,overlap_ratio,70,%,10,90,,"Ensures uniform coverage on porous terracotta; 70% optimal to avoid gaps or uneven heating. Source: Process optimization in laser scanning studies (e.g., Salonitis et al., 2013, Opt. Lasers Eng.)."
